etudiant_id,nom,prenom,date_naissance,universite_id,programme_etude,date_inscription,date_diplome,fonctionnaire_id,email
33,Terry,Paul,1999-03-26,54,Génie Industriel,2017-10-30,,1379,bsweeney@example.org
34,Evans,Randall,1997-04-11,26,Génie Civil,2015-09-02,,,wweber@example.com
35,Sanchez,Benjamin,2003-11-10,10,Architecture,2023-02-02,2021-10-03,,gcarpenter@example.com
36,Nguyen,Gary,2000-05-06,38,Mécanique,2018-09-23,,,lindafinley@example.net
37,Haynes,Ashley,2002-10-21,31,Informatique,2016-01-25,,,carolyn92@example.net
38,Bell,Danielle,2000-05-15,37,Électronique,2017-12-27,2021-10-28,,iweeks@example.org
39,Gonzales,Melissa,2005-07-16,11,,2017-03-15,,1422,zjacobson@example.org
40,Martin,Brooke,2003-10-27,64,,2015-04-25,,,lrivas@example.org
41,Morgan,David,1994-08-01,96,,2015-03-02,2020-10-10,4216,wruiz@example.com
42,Ross,Adam,2001-09-02,63,Électronique,2017-06-06,,,stephaniegallagher@example.org
43,Graves,Karen,2000-09-04,59,Informatique,2021-12-26,2023-04-20,,michaelthomas@example.com
44,Cooper,Jennifer,2006-05-03,55,Génie Industriel,2019-07-06,,422,derrickramirez@example.org
45,Richardson,Heather,1995-06-16,81,Ingénierie des Systèmes,2018-07-11,2023-03-23,,hebertrobert@example.com
46,Jackson,Anthony,1998-12-29,23,Électronique,2016-07-04,,2953,coreywalker@example.org
47,Flynn,Matthew,1997-03-19,57,Informatique,2024-02-24,2024-01-14,659,christinegardner@example.net
48,Martin,Brooke,2006-02-03,97,Génie Industriel,2022-07-09,2022-09-25,,urich@example.org
49,Mack,Lisa,1997-03-07,81,Génie Industriel,2022-08-31,,4701,austin56@example.com
50,Meyer,Edwin,1997-06-02,5,Architecture,2021-08-02,2023-02-16,,julie61@example.net
51,Wheeler,Mark,2002-11-11,44,Informatique,2019-06-07,2021-01-18,,lindsey39@example.org
52,Gonzalez,Chris,1999-08-05,17,Génie Industriel,2022-12-13,2021-01-29,,boylepatricia@example.org
53,Rosales,Adam,1999-04-29,56,Ingénierie des Systèmes,2017-11-26,2024-01-12,3972,wilsonkyle@example.net
54,Francis,April,2001-12-24,61,Informatique,2022-10-20,,885,tjames@example.com
55,Blair,Ashley,2001-07-26,10,Électronique,2022-11-13,,610,ann23@example.net
56,Beck,Edward,2000-08-02,34,Télécommunications,2021-02-23,,,faithschaefer@example.org
57,Brown,Gregory,2006-01-22,91,Ingénierie des Systèmes,2015-12-26,2024-11-04,4434,josephtucker@example.org
58,Murphy,Kara,2004-05-06,36,Mathématiques Appliquées,2015-07-29,,,charvey@example.com
59,Mccoy,Brandon,2002-12-11,36,Télécommunications,2018-04-26,2025-02-10,,jeanne17@example.org
60,Smith,Cynthia,1999-12-05,60,,2018-11-01,2020-08-26,3716,david44@example.com
61,Mahoney,Stacy,1999-07-09,13,Ingénierie Environnementale,2024-01-16,,,perezjoshua@example.net
62,Campos,John,2000-06-26,79,Ingénierie Environnementale,2023-07-26,2022-10-24,,pjames@example.com
63,Rivera,Jill,1995-01-31,95,Génie Industriel,2020-07-01,,,rebeccarichmond@example.net
64,Watkins,Justin,1998-12-25,72,Génie Industriel,2018-01-26,,4923,molly96@example.com
65,Garcia,Anthony,2006-10-07,35,Mécanique,2019-12-30,2023-11-15,,bobby35@example.com
66,Leonard,Kevin,1999-07-19,53,Architecture,2024-09-12,,1887,michael00@example.net
67,Bates,Stephanie,2006-12-14,26,Électronique,2016-11-29,,4935,susan67@example.net
68,Smith,Andrea,1997-04-18,10,Génie Civil,2018-09-18,,1905,keithspence@example.org
69,Franco,Johnny,2003-09-03,75,Télécommunications,2024-11-08,2020-08-14,,markbond@example.net
70,Harmon,Ashley,2002-02-10,47,Génie Civil,2015-05-04,,4468,kristingray@example.org
71,Torres,Lisa,1996-08-18,99,,2018-04-22,2020-12-17,1175,mbrooks@example.com
72,Burns,Sandra,2007-02-20,70,Ingénierie Environnementale,2019-05-27,,,jesus11@example.net
73,Williams,Charles,2002-09-06,77,Mathématiques Appliquées,2017-11-20,2023-11-25,603,melissa93@example.com
74,Alvarez,Amy,1994-12-18,28,,2022-09-04,2022-09-14,,bradshawsummer@example.org
75,Nelson,Victoria,2004-03-24,63,Mathématiques Appliquées,2022-06-24,2024-01-17,1600,jasonfrench@example.org
76,Rodgers,Maria,2006-09-16,73,Ingénierie Environnementale,2023-07-03,,3086,brownjeremy@example.net
77,Bryant,Nicole,2000-08-28,71,Électronique,2023-03-27,,,katherinecook@example.org
78,Nelson,Patrick,1996-08-03,51,Électronique,2023-11-04,2022-02-16,,phillipsmartin@example.org
79,Price,Melissa,2004-09-12,44,Génie Industriel,2020-03-05,2021-02-12,3627,ssalazar@example.org
80,Phelps,David,1994-04-25,47,Génie Civil,2023-05-19,,,jfuller@example.org
81,Rodriguez,Bethany,1998-06-22,26,,2018-10-08,,,hoopermichael@example.net
82,Black,Nicolas,2003-05-30,87,Ingénierie Environnementale,2017-03-26,2021-03-02,,ppoole@example.org
83,Dean,Mark,1999-10-16,21,Électronique,2023-10-15,2021-04-22,,bishopgail@example.net
84,Byrd,Samuel,2003-04-13,97,Électronique,2019-04-04,2023-12-24,,zacharyowens@example.org
85,Thompson,Pamela,1998-01-30,39,Informatique,2023-01-05,2022-03-21,4678,hernandezbrian@example.com
86,Fitzpatrick,Donald,2004-02-22,27,Génie Civil,2021-03-22,2023-02-18,231,qthomas@example.com
87,Cooper,Jacqueline,2004-08-19,14,Ingénierie des Systèmes,2016-12-01,,,kennethhess@example.com
88,Bowen,Patricia,2000-03-10,48,Génie Civil,2020-07-27,,,shannonsmith@example.org
89,Stone,Elizabeth,1994-08-04,26,Télécommunications,2024-01-20,,4643,heather70@example.com
90,Wilson,Mark,2002-07-23,83,,2015-09-20,2023-09-02,,robinsonsuzanne@example.net
91,Montes,Sylvia,1998-03-07,44,Télécommunications,2021-03-26,,1736,amygarcia@example.org
92,Golden,Hunter,1995-01-22,10,Génie Industriel,2020-06-07,,3292,nelsonamanda@example.net
93,Peterson,Jacob,2004-09-10,55,Électronique,2019-08-30,,2509,websterrobert@example.net
94,Freeman,Jacqueline,2003-04-07,14,Architecture,2015-03-01,2022-02-24,,pdoyle@example.net
95,Smith,Crystal,2005-08-05,84,Architecture,2023-11-17,,2925,athompson@example.com
96,White,Travis,1994-05-25,13,Ingénierie des Systèmes,2015-05-27,,,courtneyhebert@example.com
97,Elliott,Tara,2005-12-04,31,Génie Civil,2023-07-29,,1491,sarah81@example.org
98,Banks,Mark,1999-02-10,42,Architecture,2024-09-07,2020-11-08,2771,rodriguezcrystal@example.org
99,Bowman,Curtis,2004-08-06,63,Ingénierie des Systèmes,2018-04-22,,,john09@example.org
100,Duarte,Mary,1997-03-13,80,Télécommunications,2020-02-04,,,zrobinson@example.com
101,Sharp,Jared,1999-01-17,34,Architecture,2020-02-23,,,jamesoliver@example.org
102,Williams,Desiree,1994-12-04,40,Informatique,2021-08-29,,3887,justinmckenzie@example.com
103,Mccullough,Stephanie,1999-01-14,12,,2019-04-23,2022-03-29,1009,tanyaochoa@example.org
104,Thompson,John,1997-12-06,52,Ingénierie des Systèmes,2019-02-16,2024-09-29,332,huberbrooke@example.net
105,Campbell,Andrew,2004-01-26,79,,2018-11-05,2023-08-08,,jeremy03@example.org
106,Walsh,Colton,1998-04-15,65,Ingénierie Environnementale,2015-09-04,,,david73@example.com
107,Walter,Kristin,2005-07-19,50,Électronique,2025-02-07,,670,janicefisher@example.org
108,Johnson,Julie,2002-07-29,20,Ingénierie Environnementale,2017-07-16,,,jacqueline93@example.com
109,Wood,Michelle,2004-09-17,40,Électronique,2020-12-02,2024-04-09,2915,nicholas74@example.org
110,Campos,Marissa,2001-03-12,30,Ingénierie Environnementale,2015-11-10,2021-05-10,650,michael89@example.com
111,Payne,Bruce,2003-07-31,2,Architecture,2024-03-09,2021-05-18,,callen@example.com
112,Moore,Charles,1999-03-10,38,Télécommunications,2015-05-19,,,parkerjason@example.org
113,Copeland,Samuel,2004-04-27,14,Électronique,2023-08-12,,,jason63@example.org
114,Cook,Rebecca,1999-03-02,13,Ingénierie des Systèmes,2019-01-28,,,danielle95@example.net
115,Little,Megan,2006-07-26,70,Mathématiques Appliquées,2019-04-19,2022-03-15,4406,adamperez@example.com
116,Simmons,Karen,2001-06-05,22,Électronique,2023-12-26,2020-11-02,,jasonhanson@example.org
117,Young,Ashley,1996-03-22,10,Génie Industriel,2020-03-01,,,josephwarren@example.org
118,Parsons,Richard,2006-01-10,46,Génie Civil,2024-02-15,2025-02-11,,jenniferlambert@example.com
119,Velazquez,Joann,2002-05-02,40,Génie Industriel,2021-11-08,,604,jstewart@example.net
120,Salas,Martin,1999-10-11,49,Mathématiques Appliquées,2017-03-20,,,gary42@example.org
121,Crawford,Deborah,1996-10-28,48,Architecture,2019-05-11,2024-05-09,2565,joseodonnell@example.net
122,Martinez,Rhonda,2005-06-08,84,Mécanique,2016-04-22,2020-09-06,734,hernandezstephen@example.net
123,Gonzalez,Amanda,1994-11-03,85,Génie Civil,2020-01-17,,3357,ysanford@example.net
124,Mccarthy,Megan,2006-06-01,15,Mathématiques Appliquées,2021-11-15,2023-07-22,320,robinsontravis@example.net
125,Osborne,Brandy,2000-02-02,16,Mécanique,2018-12-13,2023-06-04,,lmoore@example.org
126,Bond,Brent,1999-08-09,12,Mathématiques Appliquées,2022-05-31,2020-07-11,,noah02@example.org
127,Parrish,Ellen,1996-09-09,58,Télécommunications,2018-09-15,2024-08-12,,kristywebster@example.com
128,Sutton,Gregory,1998-05-01,65,Génie Civil,2017-02-04,2021-01-06,,donald69@example.com
129,Mcintosh,Brittany,2000-12-07,71,Ingénierie Environnementale,2018-11-29,2022-02-24,,xle@example.org
130,Gonzales,Ronald,2006-09-01,14,Informatique,2019-03-22,2022-01-15,,geraldgrant@example.org
131,Ponce,Kelly,2001-08-17,65,Électronique,2019-03-08,2021-03-20,,staceysanders@example.com
132,Santos,Walter,2003-08-24,6,,2020-06-02,2020-07-08,2798,michaelhelen@example.com
133,Ingram,Yolanda,2001-01-30,43,Mécanique,2016-01-03,,,gmartin@example.net
134,Norton,Pam,1994-09-25,44,Architecture,2022-03-18,,,raykelsey@example.org
135,Edwards,Todd,1998-10-09,58,Ingénierie Environnementale,2016-12-27,,,wbell@example.org
136,Leonard,Jamie,2001-11-18,66,Électronique,2022-09-28,2022-10-30,,robertsjennifer@example.org
137,Brown,Tammy,2006-06-23,14,Ingénierie des Systèmes,2024-10-28,2024-11-27,1391,wolferika@example.net
138,Bailey,John,1997-07-18,3,Mathématiques Appliquées,2016-10-15,,,grahamjoseph@example.com
139,Randall,Cheryl,2006-10-27,4,Électronique,2024-05-19,2021-05-27,,bbrown@example.com
140,Tucker,Christopher,2004-06-30,50,Architecture,2023-10-12,,,raymond89@example.com
141,Wilkinson,Juan,2004-12-24,65,Informatique,2023-05-23,2021-04-28,2174,hallhannah@example.com
142,Shields,Lauren,2003-12-13,17,,2016-10-10,,832,ryan98@example.org
143,Bernard,Christopher,2007-01-30,1,Ingénierie des Systèmes,2017-11-08,,587,djohnson@example.org
144,Walker,Amy,2000-01-11,21,Architecture,2022-04-02,,,karentownsend@example.net
145,Carpenter,Molly,1995-12-31,42,Ingénierie des Systèmes,2019-05-23,,,matthewsjames@example.net
146,Thomas,Bruce,1997-05-06,33,Ingénierie Environnementale,2020-03-28,,,swagner@example.org
147,Morris,Amanda,2002-05-28,15,Télécommunications,2017-08-19,2022-06-02,1795,mbaker@example.net
148,Wheeler,Christopher,2003-09-19,31,Génie Industriel,2017-04-20,,,alvarezrobert@example.net
149,Montgomery,Sydney,2000-03-30,90,Génie Industriel,2018-05-07,,,audrey44@example.net
150,Moore,Carrie,2004-11-21,95,Mathématiques Appliquées,2021-05-27,2020-03-24,,ashleywalker@example.org
151,Williams,Nicole,2000-03-27,63,Génie Civil,2021-08-03,,4062,mariabenitez@example.net
152,Fleming,Daniel,1999-09-18,97,Télécommunications,2020-02-22,2023-01-11,1898,amygraham@example.com
153,Turner,Christopher,1996-10-08,55,Ingénierie Environnementale,2018-02-13,2023-11-16,,jrichmond@example.com
154,Riley,Antonio,1996-01-03,65,Génie Industriel,2016-06-12,,,jonathan56@example.org
155,Gregory,Brooke,2001-07-24,16,Ingénierie Environnementale,2017-06-12,,861,joyce84@example.net
156,Rodriguez,Heidi,2005-10-27,91,Ingénierie Environnementale,2019-03-01,,,stephen33@example.org
157,Williams,Clifford,2000-07-22,16,Télécommunications,2016-03-10,2020-11-04,,jeffrey61@example.org
158,Baldwin,Courtney,1995-06-19,15,Architecture,2016-04-22,,,williamslinda@example.org
159,York,Dylan,2006-02-26,50,,2019-12-08,,,beverly73@example.org
160,Daugherty,Angela,1997-12-20,48,Génie Civil,2020-02-09,2022-04-19,2852,amacias@example.net
161,Page,Nicole,1995-08-10,28,Ingénierie des Systèmes,2019-08-07,,2370,christopher61@example.com
162,Dickerson,Scott,1996-02-06,25,,2020-01-05,2022-06-02,4770,jenna39@example.com
163,Murphy,Valerie,1999-04-04,36,Génie Industriel,2021-02-18,2022-02-12,,joshua78@example.net
164,Drake,Zachary,2006-11-12,22,Génie Industriel,2015-09-28,2023-11-13,,sydneyespinoza@example.com
165,Clark,Sandra,2004-04-02,87,Télécommunications,2018-10-14,2023-06-25,,smithcarolyn@example.net
166,Hines,Susan,2005-01-10,68,Mathématiques Appliquées,2021-05-01,2022-07-08,2152,alexanderstewart@example.com
167,Bauer,Nicholas,2000-03-11,15,Informatique,2020-10-29,,,mackelizabeth@example.org
168,Thomas,William,1995-02-28,84,Génie Industriel,2022-12-18,,1379,brenda46@example.org
169,King,Jordan,2001-07-31,59,Architecture,2017-12-29,,2028,bbrown@example.org
170,Benton,Joe,2004-06-24,16,Génie Civil,2019-02-14,2024-01-20,1018,edwardarnold@example.net
171,Williams,Sheila,2005-03-19,17,Ingénierie des Systèmes,2019-04-14,,,donaldgonzalez@example.net
172,Maxwell,Kathryn,2005-11-28,10,Mécanique,2020-05-18,2024-08-07,3664,angelmckinney@example.com
173,Stevens,Angela,1997-10-06,96,Mécanique,2019-10-10,2023-02-01,2849,ismith@example.net
174,Pham,Jeffrey,2005-09-14,97,Génie Civil,2023-10-08,,1485,zwoods@example.org
175,Lucero,Jonathan,1999-12-02,51,Mathématiques Appliquées,2020-12-20,2024-08-09,,thomasbarron@example.com
176,Fischer,Jill,1998-04-30,81,Mathématiques Appliquées,2018-07-30,2023-01-27,4293,laura29@example.net
177,Hammond,Christopher,1994-08-18,71,Ingénierie des Systèmes,2019-09-20,,4045,justin40@example.com
178,Sweeney,Felicia,1994-07-26,35,Architecture,2022-05-23,2024-06-05,,owensashley@example.org
179,Knight,Anne,2002-02-13,30,Informatique,2016-03-21,2021-08-05,1689,trevor69@example.net
180,Erickson,Zachary,1997-01-21,25,Électronique,2019-04-16,,,fholland@example.org
181,Garcia,Jon,2003-07-13,37,Informatique,2016-07-20,,3643,stuartbrian@example.org
182,Holt,Travis,1996-11-23,15,Mécanique,2018-05-16,,4505,wilsonchristina@example.org
183,Turner,Emily,2004-05-11,55,Génie Civil,2018-07-02,,768,xaustin@example.net
184,Brown,Amber,1995-08-23,88,Mécanique,2020-06-08,,,deanmichael@example.org
185,Haney,Michael,2000-03-16,43,Électronique,2022-10-01,,,adam16@example.com
186,Edwards,Eric,2001-04-19,54,Génie Civil,2015-08-01,2021-10-14,,rhonda02@example.com
187,Lang,Angela,2001-09-19,79,Mathématiques Appliquées,2017-04-11,,182,turnerricardo@example.org
188,Zamora,Jason,1998-10-04,3,Génie Civil,2019-08-05,2021-02-08,,christinacarr@example.com
189,Guerra,Jason,1996-08-28,64,Ingénierie des Systèmes,2016-10-09,2022-12-14,,emily74@example.org
190,Olson,Kristi,2004-03-30,82,Mécanique,2018-11-02,2024-12-07,,wendysparks@example.org
191,Reeves,Christina,1997-10-10,62,Électronique,2018-12-24,,3385,andrewspaula@example.com
192,King,Kevin,2003-03-27,89,Mécanique,2022-03-25,,,christopherjohnson@example.com
193,Tucker,Laura,2005-04-09,90,Génie Industriel,2023-04-28,,3222,wsanchez@example.org
194,Powell,Brandon,2000-10-02,85,Ingénierie Environnementale,2019-09-20,,304,perrymanuel@example.org
195,Conway,Thomas,2000-11-25,27,,2023-03-15,2024-09-30,,xmartinez@example.com
196,Wagner,James,1995-08-25,96,Électronique,2017-12-29,2022-08-30,,martinkelly@example.net
197,Garner,Shannon,1995-03-29,17,Mécanique,2017-05-21,2020-08-13,,michael32@example.org
198,Ryan,John,2004-12-12,37,Mathématiques Appliquées,2021-02-23,,3931,kelsey64@example.net
199,White,Rodney,2000-03-08,88,Électronique,2020-05-30,,,steven72@example.com
200,Wilson,Katherine,1996-02-28,90,Informatique,2023-05-31,,,shane38@example.org
201,Stewart,Kristin,2002-09-09,89,Génie Industriel,2019-01-07,,2392,kirstenellis@example.org
202,Cunningham,Kathryn,2006-02-26,99,Ingénierie des Systèmes,2017-05-27,,3252,mcleansarah@example.com
203,Estrada,Andrea,1998-08-14,49,Mathématiques Appliquées,2023-02-27,2023-09-04,590,oestrada@example.org
204,Pruitt,Steven,2007-02-05,47,,2022-05-16,2024-05-19,3682,ashleypatterson@example.com
205,Gibson,Aaron,2003-01-29,49,Ingénierie Environnementale,2018-10-09,,,dustinreid@example.net
206,Brown,Erin,1995-01-22,17,Mathématiques Appliquées,2016-01-26,2023-04-24,403,bprice@example.com
207,Torres,Ray,2003-10-29,35,Ingénierie Environnementale,2022-10-30,2023-09-07,,lori50@example.org
208,Davis,Jeffrey,2003-11-18,71,Informatique,2019-12-09,,,mooretimothy@example.org
209,Rojas,Jeffrey,2006-07-13,70,Informatique,2016-11-17,2023-08-09,1058,debbie54@example.net
210,Stafford,Douglas,1998-03-09,92,Ingénierie Environnementale,2017-06-07,,2270,michael67@example.net
211,Blevins,Mark,2004-11-28,70,Électronique,2020-01-15,,,alicesanders@example.net
212,Mejia,Susan,2003-10-30,80,,2018-03-06,2024-04-25,349,jerryjohnson@example.net
213,Solis,Amy,2005-07-16,63,Mécanique,2019-01-26,2020-08-08,1578,johnsoncynthia@example.org
214,Brown,Alexandra,2003-06-06,22,Génie Industriel,2016-05-07,2022-02-01,,marcusgreer@example.com
215,Fitzgerald,Richard,2000-04-25,6,Électronique,2017-04-19,2023-04-29,259,paulagreen@example.org
216,Graves,Stacey,2001-10-03,99,Ingénierie Environnementale,2023-11-11,2022-07-17,3866,murraylauren@example.com
217,Rivera,Tony,1996-11-13,26,,2019-07-10,2020-12-18,647,ubaker@example.net
218,Calhoun,Robert,2004-08-16,66,Mathématiques Appliquées,2017-12-13,,719,johnsonanne@example.com
219,Murphy,Billy,2003-09-01,41,Mécanique,2017-06-02,,,ashleysullivan@example.org
220,Foster,Nathaniel,1994-11-24,51,Architecture,2024-07-11,,1376,boyletravis@example.net
221,Neal,Brian,1997-10-23,87,Génie Industriel,2023-08-08,2023-08-22,,jwhite@example.org
222,Shaw,Kimberly,1995-07-15,77,Mathématiques Appliquées,2022-06-22,,,tbell@example.org
223,Hawkins,Steven,1998-04-25,90,,2020-04-17,2020-12-03,,jonathonbenjamin@example.net
224,Alvarez,Robert,2000-03-13,92,Architecture,2018-05-11,,4378,gomezbarry@example.com
225,Rollins,Monica,1998-04-04,97,Électronique,2019-05-03,2023-08-06,3856,deborahbradley@example.org
226,Allen,Jacob,2002-08-14,89,,2018-08-02,,3448,franklinsummer@example.net
227,Jordan,Zachary,2001-10-30,18,Mathématiques Appliquées,2021-06-05,,635,bartlettcatherine@example.com
228,Andrews,Matthew,2005-06-18,74,Mathématiques Appliquées,2015-04-12,2020-04-10,,jimmygomez@example.net
229,Fisher,Tanya,2002-02-10,21,Génie Industriel,2016-07-01,2021-02-05,,walshkimberly@example.org
230,Keith,Ronald,2006-01-08,68,Mécanique,2018-03-08,,,paul29@example.org
231,Moore,Johnny,2005-08-03,93,Architecture,2025-02-17,,,daviskyle@example.net
232,Martin,Joseph,1997-07-07,37,Ingénierie des Systèmes,2015-10-24,,3763,lawrencelaura@example.com
233,Bush,Maurice,2002-09-19,51,Génie Industriel,2018-10-18,2022-04-11,,susancisneros@example.net
234,Watson,Natalie,2002-04-03,17,Mécanique,2023-04-28,,4045,marthaboyd@example.org
235,Simpson,Amy,2001-06-21,79,Génie Industriel,2022-01-05,,2600,conniesantos@example.net
236,Powers,Emily,2003-09-18,21,Ingénierie des Systèmes,2019-08-14,2025-02-14,,kimrocha@example.org
237,Hart,Carlos,1998-01-16,89,Informatique,2019-10-23,2020-12-11,3806,swatts@example.net
238,Perry,Emily,2001-01-08,24,,2016-03-22,,,jhunt@example.org
239,Jennings,Deborah,1996-09-19,83,Architecture,2021-07-06,,1154,wesley84@example.com
240,Stewart,Louis,2003-01-28,1,Télécommunications,2021-02-25,,1035,harrisrichard@example.com
241,Adams,Shelly,2004-04-17,47,Génie Civil,2021-03-29,2021-12-24,2240,amber66@example.net
242,Burgess,Jason,2003-10-05,48,Ingénierie Environnementale,2024-09-05,,2826,smithjacqueline@example.net
243,Harris,David,2000-07-02,17,Génie Industriel,2015-08-08,,,joseph11@example.com
244,Schroeder,Jodi,2003-01-16,47,Mathématiques Appliquées,2017-05-04,,4788,johnsonronald@example.org
245,Conley,Laura,1998-04-01,78,Électronique,2019-05-20,,,kreyes@example.org
246,Watson,Jerry,1997-03-23,14,Génie Industriel,2024-06-05,2024-07-07,1206,anneramos@example.com
247,Bryan,Jennifer,1999-03-18,55,Architecture,2020-08-21,2024-03-18,,buckleyeric@example.net
248,Wright,Leslie,1997-05-21,78,Architecture,2017-01-09,2020-08-30,1315,john94@example.org
249,May,Carlos,2002-09-03,7,Mécanique,2018-06-19,2021-05-07,,haaswayne@example.net
250,Edwards,Joshua,2006-07-09,76,Architecture,2022-07-31,2023-10-02,3572,bwolf@example.org
251,Anderson,Rebecca,1999-08-12,87,,2023-12-03,,885,lanekristin@example.net
252,Wolfe,Norman,1995-11-20,80,Génie Civil,2020-10-27,,,ylewis@example.net
253,Melendez,Bryan,2004-01-04,10,Électronique,2016-12-12,2020-02-26,260,mary88@example.net
254,Mcdonald,Steven,2004-04-03,57,Mécanique,2023-04-01,2020-07-28,,ytucker@example.org
255,Mcguire,Deanna,2000-10-03,35,Télécommunications,2018-02-19,,4770,angelarogers@example.com
256,Long,Stephen,2006-04-30,5,Ingénierie des Systèmes,2023-11-07,,,jjohnson@example.net
257,Vega,Susan,2005-03-07,24,Architecture,2019-09-17,,1317,bradleyclinton@example.net
258,Wells,Kristina,1996-11-11,52,Télécommunications,2020-05-02,,4124,thomaskim@example.net
259,Wright,Travis,1995-09-11,19,Informatique,2020-12-16,,93,gerald20@example.net
260,Hall,David,2005-11-20,93,Électronique,2015-04-06,,,gwilliams@example.com
261,Swanson,Adam,2006-12-23,52,Génie Industriel,2023-07-09,2024-04-25,,chapmanpatrick@example.com
262,Marshall,Amy,2003-06-24,23,,2020-05-07,,1231,jessicajohnson@example.com
263,Martinez,Charles,2004-04-19,27,Mathématiques Appliquées,2019-04-03,2020-03-26,887,dbrown@example.net
264,Little,Philip,2007-01-03,39,Informatique,2024-11-19,,2102,jessicaryan@example.com
265,Navarro,Jason,2003-04-29,22,Électronique,2024-01-29,2023-05-23,328,scottariel@example.org
266,Flores,Erika,2000-09-22,32,Architecture,2016-04-10,,,mitchellhannah@example.net
267,Yates,Adam,2005-05-06,44,Architecture,2024-09-06,2023-10-28,498,beverly58@example.net
268,Sanders,Kathy,2005-06-15,31,Ingénierie Environnementale,2017-09-28,,,angelacook@example.com
269,Stevens,Amanda,1996-05-12,84,Mécanique,2023-10-01,2024-04-25,879,callahansamuel@example.net
270,Mayer,Kathryn,2002-07-19,64,Génie Civil,2016-09-08,2022-05-03,274,qsullivan@example.org
271,Sutton,John,2005-01-23,82,Électronique,2021-05-11,,,clopez@example.org
272,Johns,Tyler,1996-01-06,93,Génie Industriel,2017-01-26,,256,jennaberry@example.org
273,Mcdowell,Chad,2001-04-23,77,Architecture,2024-05-05,2022-02-21,2729,gcervantes@example.org
274,Ellis,David,2003-05-30,45,Architecture,2022-07-30,,340,robertsparks@example.com
275,Nguyen,Joshua,1996-03-28,77,Informatique,2019-08-05,2021-02-12,1434,wthomas@example.com
